code,name,listing_date,shares,listing_board
DIVA,Distribusi Voucher Nusantara T,2018-11-27T00:00:00,1428571400,Pengembangan
DKFT,Central Omega Resources Tbk.,1997-11-21T00:00:00,5638246600,Pengembangan
DLTA,Delta Djakarta Tbk.,1984-02-27T00:00:00,800659050,UTAMA
DMAS,Puradelta Lestari Tbk.,2015-05-29T00:00:00,48198111100,Utama
DMMX,Digital Mediatama Maxima Tbk.,2019-10-21T00:00:00,7692307700,Pengembangan
DMND,Diamond Food Indonesia Tbk.,2020-01-22T00:00:00,9468359000,Utama
DNAR,Bank Oke Indonesia Tbk.,2014-07-11T00:00:00,13816569569,Utama
DNET,Indoritel Makmur Internasional,2000-12-11T00:00:00,14184000000,Pengembangan
DOID,Delta Dunia Makmur Tbk.,2001-06-15T00:00:00,8621173232,Utama
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08T00:00:00,331129952,Utama
DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08T00:00:00,4175000000,Utama
DRMA,Dharma Polimetal Tbk.,2021-12-20T00:00:00,4705882300,Utama
DSFI,Dharma Samudera Fishing Indust,2000-03-24T00:00:00,1857135500,UTAMA
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14T00:00:00,10599842400,Utama
DSSA,Dian Swastatika Sentosa Tbk,2009-12-10T00:00:00,770552320,Utama
DUCK,Jaya Bersama Indo Tbk.,2018-10-10T00:00:00,1283330000,Utama
DUTI,Duta Pertiwi Tbk,1994-11-02T00:00:00,1850000000,Pengembangan
DVLA,Darya-Varia Laboratoria Tbk.,1994-11-11T00:00:00,1120000000,Utama
DWGL,Dwi Guna Laksana Tbk.,2017-12-13T00:00:00,9244722556,Pengembangan
DYAN,Dyandra Media International Tb,2013-03-25T00:00:00,4272964279,Utama
EAST,Eastparc Hotel Tbk.,2019-07-09T00:00:00,4126366525,Pengembangan
ECII,Electronic City Indonesia Tbk.,2013-07-03T00:00:00,1334333000,PENGEMBANGAN
EDGE,Indointernet Tbk.,2021-02-08T00:00:00,404050000,Pengembangan
EKAD,Ekadharma International Tbk.,1990-08-14T00:00:00,698775000,UTAMA
ELSA,Elnusa Tbk.,2008-02-06T00:00:00,7298500000,Utama
ELTY,Bakrieland Development Tbk.,1995-10-30T00:00:00,43521913019,UTAMA
EMDE,Megapolitan Developments Tbk.,2011-01-12T00:00:00,3350000000,Pengembangan
EMTK,Elang Mahkota Teknologi Tbk.,2010-01-12T00:00:00,61241751483,Utama
ENAK,Champ Resto Indonesia Tbk.,2022-02-08T00:00:00,2166666800,Pengembangan
ENRG,Energi Mega Persada Tbk.,2004-06-07T00:00:00,24821230250,Pengembangan
ENVY,Envy Technologies Indonesia Tb,2019-07-08T00:00:00,1800000000,Pengembangan
ENZO,Morenzo Abadi Perkasa Tbk.,2020-09-14T00:00:00,2162545448,PENGEMBANGAN
EPAC,Megalestari Epack Sentosaraya ,2020-07-01T00:00:00,3303400000,Pengembangan
EPMT,Enseval Putera Megatrading Tbk,1994-08-01T00:00:00,2708640000,Pengembangan
ERAA,Erajaya Swasembada Tbk.,2011-12-14T00:00:00,15950000000,Utama
ERTX,Eratex Djaja Tbk.,1990-08-21T00:00:00,1286539792,Pengembangan
ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14T00:00:00,1109936024,Pengembangan
ESSA,Surya Esa Perkasa Tbk.,2012-02-01T00:00:00,15660887000,Utama
ESTA,Esta Multi Usaha Tbk.,2020-03-09T00:00:00,630000000,Pengembangan
ESTI,Ever Shine Tex Tbk.,1992-10-13T00:00:00,2015208720,UTAMA
ETWA,Eterindo Wahanatama Tbk,1997-05-16T00:00:00,4668671400,Utama
EXCL,XL Axiata Tbk.,2005-09-29T00:00:00,10724674776,Utama
FAPA,FAP Agri Tbk.,2021-01-04T00:00:00,3629411800,Pengembangan
FAST,Fast Food Indonesia Tbk.,1993-05-11T00:00:00,3990277158,Pengembangan
FASW,Fajar Surya Wisesa Tbk.,1994-12-19T00:00:00,2477888787,Utama
FILM,MD Pictures Tbk.,2018-08-07T00:00:00,9511217000,Utama
FIMP,Fimperkasa Utama Tbk.,2021-04-09T00:00:00,400000975,Akselerasi
FIRE,Alfa Energi Investama Tbk.,2017-06-09T00:00:00,1475363179,Pengembangan
FISH,FKS Multi Agro Tbk.,2002-01-18T00:00:00,480000000,Pengembangan
FITT,Hotel Fitra International Tbk.,2019-06-11T00:00:00,726130099,PENGEMBANGAN
FLMC,Falmaco Nonwoven Industri Tbk.,2021-07-08T00:00:00,781250000,Akselerasi
FMII,Fortune Mate Indonesia Tbk,2000-06-30T00:00:00,2721000000,Pengembangan
FOOD,Sentra Food Indonesia Tbk.,2019-01-08T00:00:00,650000000,Pengembangan
FORU,Fortune Indonesia Tbk,2002-01-17T00:00:00,465224000,Pengembangan
FORZ,Forza Land Indonesia Tbk.,2017-04-28T00:00:00,1984009887,UTAMA
FPNI,Lotte Chemical Titan Tbk.,2002-03-21T00:00:00,5566414000,Pengembangan
FREN,Smartfren Telecom Tbk.,2006-11-29T00:00:00,308106837081,Utama
FUJI,Fuji Finance Indonesia Tbk.,2019-07-09T00:00:00,1105000000,PENGEMBANGAN
GAMA,Aksara Global Development Tbk.,2012-07-11T00:00:00,10011027656,UTAMA
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23T00:00:00,9242500000,PENGEMBANGAN
GDYR,Goodyear Indonesia Tbk.,1980-12-22T00:00:00,410000000,Utama
GEMA,Gema Grahasarana Tbk.,2002-08-12T00:00:00,1600000000,Pengembangan
